subset,metric_key,metric_label,n,raw_mean,raw_sd,raw_median,svr_mean,svr_sd,svr_median,mean_delta_svr_minus_raw,median_delta_svr_minus_raw,n_nonzero,w_plus,w_minus,z_approx,p_approx
all_cases,conf,Diagnostic confidence,31,4.709677419354839,0.5884186937375332,5.0,4.32258064516129,1.1071614388213236,5.0,-0.3870967741935484,0.0,11,9.0,57.0,-2.345606103977963,0.018996170918631705
all_cases,time,Reading time (min),31,2.806451612903226,0.7924373724448588,3.0,2.4193548387096775,0.7648177799705886,2.0,-0.3870967741935484,0.0,20,61.0,149.0,-1.7703563174353434,0.07666780181207944
all_cases,cc,Corpus callosum visibility,31,4.741935483870968,0.5754848353335861,5.0,4.612903225806452,1.1158679538021425,5.0,-0.12903225806451613,0.0,8,14.0,22.0,-0.5078333750770082,0.6115702017692279
all_cases,csp,CSP visibility,31,4.645161290322581,0.7549122287513162,5.0,4.354838709677419,1.2260610940942596,5.0,-0.2903225806451613,0.0,10,15.5,39.5,-1.2250343749700072,0.2205622691071838
all_cases,vent,Ventricles / CSF visibility,31,5.0,0.0,5.0,4.741935483870968,0.8550922732073567,5.0,-0.25806451612903225,0.0,3,0,6.0,-1.4744195615489712,0.14036866077167343
all_cases,pf,Posterior fossa visibility,31,4.967741935483871,0.1796053020267749,5.0,4.548387096774194,1.2339289465610612,5.0,-0.41935483870967744,0.0,5,1.0,14.0,-1.7320508075688774,0.08326451666355039
excluding_nondiagnostic_svr,conf,Diagnostic confidence,27,4.777777777777778,0.5063696835418333,5.0,4.666666666666667,0.5547001962252291,5.0,-0.1111111111111111,0.0,7,8.0,20.0,-1.314751470267833,0.18859344218176344
excluding_nondiagnostic_svr,time,Reading time (min),27,2.814814814814815,0.7862783338192769,3.0,2.4444444444444446,0.6979824404521128,2.0,-0.37037037037037035,0.0,17,43.0,110.0,-1.7841096188004357,0.07440585459541516
excluding_nondiagnostic_svr,cc,Corpus callosum visibility,27,4.7407407407407405,0.5943705521611524,5.0,4.851851851851852,0.6015175490568515,5.0,0.1111111111111111,0.0,6,14.0,7.0,0.6837634587578276,0.4941245444092639
excluding_nondiagnostic_svr,csp,CSP visibility,27,4.62962962962963,0.7916947813271392,5.0,4.666666666666667,0.7337993857053428,5.0,0.037037037037037035,0.0,7,15.5,12.5,0.19069251784911848,0.8487665010168555
excluding_nondiagnostic_svr,vent,Ventricles / CSF visibility,27,5.0,0.0,5.0,4.925925925925926,0.3849001794597505,5.0,-0.07407407407407407,0.0,1,0,1.0,0.0,1.0
excluding_nondiagnostic_svr,pf,Posterior fossa visibility,27,4.962962962962963,0.19245008972987526,5.0,4.925925925925926,0.3849001794597505,5.0,-0.037037037037037035,0.0,2,1.0,2.0,0.0,1.0
